pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
GJ 414 A c,,,,,744.7,1.424,,0.694721,,0.669922,4205.93
GJ 422 b,,,,,26.161,0.119,M3.5 V,0.35,-1.95861,,3323
GJ 4276 b,,,,,13.352,0.082,M4.0,0.406,-1.70553,0.407,3387
GJ 433 b,,,,,7.3697,0.06,M1.5 V,0.48,-1.69897,,3472
GJ 433 c,,,,,5094.105,4.819,,0.48,,,
GJ 433 d,,,,,36.059,0.178,,0.48,,,
GJ 436 b,4.2224,23.1688,649,,2.64385,0.02872,,0.452,-1.585,0.464,3350
GJ 463 b,,1144.182265,,,3448,3.53,M3 V,0.49,,0.49,3540
GJ 480 b,,,,,9.567,0.068,M3.5 Ve,0.45,,,
GJ 486 b,1.3241394,,639.36,39.4922,1.467119035,,,,,0.331472,3297
GJ 504 b,12.10569916,,512,,,,,,,,
GJ 514 b,,,202,0.28,140.43,0.422,M0.5-1.0 V,0.51,-1.36653,0.5,3728
GJ 536 b,,,,,8.708,0.067,,0.50573,-1.37333,0.507819,3674
GJ 581 b,,,,,5.36841,0.0406163,M3 V,0.31,-1.88606,0.29,
GJ 581 c,,,,,12.9191,0.072993,M3 V,0.31,-1.88606,0.29,
GJ 581 e,,,,,3.149,0.02815,,0.310747,-1.88519,0.329702,3396
GJ 625 b,,,,,14.628,0.078361,M2,0.3,-1.894,0.31,3499
GJ 649 b,,,,,600.1,1.112,M1.0,0.51,-1.361,0.5,3734
GJ 667 C b,,,,,7.2004,0.0505,M1.5 V,0.33,-1.863,,3350
GJ 667 C c,,,,,28.14,0.125,M1.5 V,0.33,-1.863,,3350
GJ 667 C e,,,,,62.24,0.213,M1.5 V,0.33,-1.863,,3350
GJ 667 C f,,,,,39.026,0.156,M1.5 V,0.33,-1.863,,3350
GJ 667 C g,,,,,256.2,0.549,M1.5 V,0.33,-1.863,,3350
GJ 674 b,,,,,4.6938,0.039,M2.5,0.35,-1.796,,3600
GJ 676 A b,,,,,1056.80005,1.82,,0.73,,0.69,3734
GJ 676 A c,,4288.140867,,,13921.42302,9.726,,0.626,,,
GJ 676 A d,,,,,3.6,0.0413,M0 V,0.71,,,
GJ 676 A e,,,,,35.47358,0.181,,0.626,,,
GJ 680 b,,7977.493016,,,17281.66514,10.138,,0.456,,,
GJ 682 b,,,,,17.478,0.08,M3.5 V,0.27,-2.69897,,3028
GJ 682 c,,,,,57.32,0.176,M3.5 V,0.27,-2.69897,,3028
GJ 685 b,,,,,24.16,0.1344,M0.5,0.55,-1.253,0.54,3816
GJ 687 b,,,,,38.142,0.163,,0.4,,,
GJ 687 c,,,,,727.562,1.165,,0.4,,,
GJ 720 A b,,,401,,19.466,0.119,M0.5 V,0.57,-1.217,0.56,3837
GJ 724 b,,,611,23.32,5.101284,0.04685,M1.0 V,0.5271,-1.2909,0.52226,3799
GJ 740 b,,,829,79,2.37756,0.029,M1.0 V,0.58,-1.206,0.56,3913
GJ 806 b,1.67823,,1162,303.547,0.9263237,,,,,0.43,3573
GJ 806 c,,,490,9.5,6.64064,0.0523,M1.5 V,0.413,-1.58528,0.4144,3600
GJ 832 b,,,,,3657,3.56,,0.45,-1.585,,3472
GJ 849 b,,,,,1925.31,2.32,M3.5,0.45,-1.59,0.45,3467
GJ 849 c,,,,,7068,,M3.5,0.49,,,
GJ 86 b,,,,,15.76491,0.113,,0.77,,,5151
GJ 876 b,,845.3,,,61.087,0.218585,,0.37,,,
GJ 876 c,,266.2,,,30.0784,0.135989,,0.37,,,
GJ 876 d,,7.49,,,1.937848,0.02183911,,0.37,,,
GJ 876 e,,16.58,,,124.5,0.3514,,0.37,,,
GJ 887 b,,,468,7.95,9.262,0.068,M1 V,0.489,-1.43415,0.4712,3688
GJ 887 c,,,352,2.56,21.789,0.12,M1 V,0.489,-1.43415,0.4712,3688
GJ 896 A b,,718.2921998,,,284.39,0.63965,M3.5 V,0.43599,,,
GJ 900 b,,3496.112477,,,,12000,K7,1.08,,,
GJ 9066 c,,,,,767.887,0.87,M4.5 V,0.15,,,
GJ 9404 b,,,,,13.4586,0.0943,,0.62,,,
